stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,wheelchair_boarding
1160,1160,"Myrtle St at W 25th St",,42.1105232239,-80.0802,,,0,,0
1161,1161,"Myrtle St at W 24th St",,42.1113243103,-80.08075,,,0,,0
1162,1162,"Myrtle St at W 23rd St",,42.1121406555,-80.081284,,,0,,0
1163,1163,"Myrtle St at W 22nd St",,42.1129722595,-80.08181,,,0,,0
1164,1164,"Myrtle St at W 21st St",,42.1137504578,-80.082359,,,0,,0
1165,1165,"W 21st St at Sassafras St",,42.1146125793,-80.080177,,,0,,0
1166,1166,"W 21st St at Peach St",,42.1154937744,-80.077797,,,0,,0
1167,1167,"W 21st St at State St",,42.1159553528,-80.076515,,,0,,0
1168,1168,"W 21st St at Peach St",,42.1156692505,-80.077606,,,0,,0
1169,1169,"W 21st St at Sassafras St",,42.1147842407,-80.080025,,,0,,0
117,117,"Sterrettania Rd at Amherst Rd",,42.0843811035,-80.139519,,,0,,0
1170,1170,"W 21st St at Myrtle St",,42.1139068604,-80.08242,,,0,,0
1171,1171,"Myrtle St at W 22nd St",,42.1130371094,-80.082047,,,0,,0
1172,1172,"Myrtle St at W 23rd St",,42.1122322083,-80.081467,,,0,,0
1173,1173,"Myrtle St at W 24th St",,42.1114234924,-80.080971,,,0,,0
1174,1174,"Myrtle St at W 25th St",,42.110660553,-80.08049,,,0,,0
1175,1175,"Myrtle St at W 26th St",,42.1097297668,-80.079857,,,0,,0
1176,1176,"Myrtle St at W 29th St",,42.1073036194,-80.078217,,,0,,0
1177,1177,"W 29th St at Chestnut St",,42.1064796448,-80.080437,,,0,,0
1178,1178,"W 29th St at Schley St",,42.1060333252,-80.081619,,,0,,0
1179,1179,"W 29th St at Sigsbee St",,42.1051597595,-80.084023,,,0,,0
118,118,"Sterrettania Rd at Hampshire Rd",,42.0855789185,-80.138969,,,0,,0
1181,1181,"W 29th St at Hazel St",,42.1040840149,-80.086899,,,0,,0
1182,1182,"W 29th St at Liberty St",,42.1033401489,-80.088867,,,0,,0
1183,1183,"W 29th St at Cascade St",,42.1019477844,-80.092674,,,0,,0
1184,1184,"W 29th St at Raspberry St",,42.1010627747,-80.095055,,,0,,0
1185,1185,"W 29th St at Elmwood Ave",,42.0997886658,-80.09848,,,0,,0
1186,1186,"Elmwood Ave at Patterson Ave",,42.0985412598,-80.09787,,,0,,0
1187,1187,"Elmwood Ave at W 32nd St",,42.0972824097,-80.097038,,,0,,0
1188,1188,"W 32nd St at Melrose Ave",,42.0965194702,-80.099136,,,0,,0
1189,1189,"W 32nd St at Washington Ave",,42.0957756042,-80.101234,,,0,,0
119,119,"Peninsula at Country Fair",,42.0903625488,-80.139168,,,0,,0
1190,1190,"W 32nd St at Greengarden Blvd",,42.0943984985,-80.104919,,,0,,0
1191,1191,"W 32nd St at Harvard Blvd",,42.0927619934,-80.10936,,,0,,0
1192,1192,"W 32nd St at Hampton Ave",,42.0912475586,-80.113525,,,0,,0
1193,1193,"W 32nd St at Post Ave",,42.090297699,-80.116013,,,0,,0
1194,1194,"W 32nd St at Schaper Ave",,42.0894889832,-80.118156,,,0,,0
1195,1195,"W 32nd St at Pittsburgh Ave",,42.0889015198,-80.119797,,,0,,0
1196,1196,"W 32nd St at Atlantic Ave",,42.0881195068,-80.121941,,,0,,0
1197,1197,"W 32nd St at Garland St",,42.0874290466,-80.123802,,,0,,0
1198,1198,"W 32nd St at Highland Rd",,42.0867004395,-80.125778,,,0,,0
1199,1199,"W 32nd St at Zuck Rd",,42.0854644775,-80.129112,,,0,,0
12,12,"Pogue Student Center",,41.8719825745,-80.118721,,,0,,0
120,120,"Peninsula at W 16th St",,42.0963668823,-80.143188,,,0,,0
