route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed
29,43,t578-b25B-sl2B,"W18 - W26 - IMBC",0,603,9464_shp,0,0
29,43,t5AA-b259-sl2B,"W18 - W26 - IMBC",0,601,9464_shp,0,0
29,43,t5AF-b25B-sl2B,"IMBC - W26 - W18 - D.TOWN",1,603,9415_shp,0,0
29,43,t609-b259-sl2B,"IMBC - W26 - W18 - D.TOWN",1,601,9415_shp,0,0
29,43,t609-b25B-sl2B,"W18 - W26 - IMBC",0,603,9464_shp,0,0
29,43,t663-b259-sl2B,"W18 - W26 - IMBC",0,601,9464_shp,0,0
29,43,t668-b25B-sl2B,"IMBC - W26 - W18 - D.TOWN",1,603,9254_shp,0,0
29,43,t6C2-b259-sl2B,"IMBC - W26 - W18 - D.TOWN",1,601,9254_shp,0,0
29,43,t6C2-b25B-sl2B,"W18 - W26 - IMBC",0,603,9464_shp,0,0
29,43,t71C-b259-sl2B,"W18 - W26 - IMBC",0,601,9464_shp,0,0
29,43,t721-b25B-sl2B,"IMBC - W26 - W18 - D.TOWN",1,603,9254_shp,0,0
29,43,t77B-b259-sl2B,"IMBC - W26 - W18 - D.TOWN",1,601,9254_shp,0,0
29,43,t7D0-b259-sl2B,"W18 - W26 - IMBC",0,601,9414_shp,0,0
29,43,t800-b259-sl2B,"IMBC - W26 - W18 - D.TOWN",1,601,9254_shp,0,0
29,43,t852-b259-sl2B,"W18 - W26 - IMBC",0,601,9464_shp,0,0
29,43,t8A2-b259-sl2B,"IMBC - W26 - W18 - D.TOWN",1,601,9254_shp,0,0
29,43,t8CF-b259-sl2B,"W18 - W26 - IMBC",0,601,9464_shp,0,0
29,43,t924-b259-sl2B,"IMBC - W26 - W18 - D.TOWN",1,601,9254_shp,0,0
29,45,t1F4-b259-sl2D,"W18 - W26 - IMBC",0,601,9419_shp,0,0
29,45,t212-b259-sl2D,"IMBC - W26 - W18 - D.TOWN",1,601,9254_shp,0,0
29,45,t212-b25B-sl2D,"W18 - W26 - IMBC",0,603,9464_shp,0,0
29,45,t266-b25B-sl2D,"IMBC - W26 - W18 - D.TOWN",1,603,9254_shp,0,0
29,45,t267-b259-sl2D,"W18 - W26 - IMBC",0,601,9464_shp,0,0
29,45,t2BC-b259-sl2D,"IMBC - W26 - W18 - D.TOWN",1,601,9254_shp,0,0
29,45,t2BC-b25B-sl2D,"W18 - W26 - IMBC",0,603,9464_shp,0,0
29,45,t2EE-b259-sl2D,"W18 - W26 - IMBC",0,601,9464_shp,0,0
29,45,t2F3-b25B-sl2D,"IMBC - W26 - W18 - D.TOWN",1,603,9254_shp,0,0
29,45,t34D-b259-sl2D,"IMBC - W26 - W18 - D.TOWN",1,601,9415_shp,0,0
29,45,t34D-b25B-sl2D,"W18 - W26 - IMBC",0,603,9414_shp,0,0
29,45,t3A7-b259-sl2D,"W18 - W26 - IMBC",0,601,9464_shp,0,0
29,45,t3A7-b25B-sl2D,"IMBC - W26 - W18 - D.TOWN",1,603,9254_shp,0,0
29,45,t401-b25B-sl2D,"W18 - W26 - IMBC",0,603,9464_shp,0,0
29,45,t406-b259-sl2D,"IMBC - W26 - W18 - D.TOWN",1,601,9254_shp,0,0
29,45,t460-b259-sl2D,"W18 - W26 - IMBC",0,601,9464_shp,0,0
29,45,t460-b25B-sl2D,"IMBC - W26 - W18 - D.TOWN",1,603,9415_shp,0,0
29,45,t4BA-b25B-sl2D,"W18 - W26 - IMBC",0,603,9464_shp,0,0
29,45,t4BF-b259-sl2D,"IMBC - W26 - W18 - D.TOWN",1,601,9415_shp,0,0
29,45,t519-b259-sl2D,"W18 - W26 - IMBC",0,601,9464_shp,0,0
29,45,t519-b25B-sl2D,"IMBC - W26 - W18 - D.TOWN",1,603,9254_shp,0,0
29,45,t578-b259-sl2D,"IMBC - W26 - W18 - D.TOWN",1,601,9254_shp,0,0
29,45,t578-b25B-sl2D,"W18 - W26 - IMBC",0,603,9464_shp,0,0
29,45,t5AA-b259-sl2D,"W18 - W26 - IMBC",0,601,9464_shp,0,0
29,45,t5AF-b25B-sl2D,"IMBC - W26 - W18 - D.TOWN",1,603,9415_shp,0,0
29,45,t609-b259-sl2D,"IMBC - W26 - W18 - D.TOWN",1,601,9415_shp,0,0
29,45,t609-b25B-sl2D,"W18 - W26 - IMBC",0,603,9464_shp,0,0
29,45,t663-b259-sl2D,"W18 - W26 - IMBC",0,601,9464_shp,0,0
29,45,t668-b25B-sl2D,"IMBC - W26 - W18 - D.TOWN",1,603,9254_shp,0,0
29,45,t6C2-b259-sl2D,"IMBC - W26 - W18 - D.TOWN",1,601,9254_shp,0,0
29,45,t6C2-b25B-sl2D,"W18 - W26 - IMBC",0,603,9464_shp,0,0
29,45,t71C-b259-sl2D,"W18 - W26 - IMBC",0,601,9464_shp,0,0
29,45,t721-b25B-sl2D,"IMBC - W26 - W18 - D.TOWN",1,603,9254_shp,0,0
29,45,t77B-b259-sl2D,"IMBC - W26 - W18 - D.TOWN",1,601,9254_shp,0,0
29,45,t7D0-b259-sl2D,"W18 - W26 - IMBC",0,601,9414_shp,0,0
